vehicle_id,vehicle_type,date,zone,zone_lat,zone_lon,demand_score,trip_count,battery_level_start,battery_level_end,charge_minutes,idle_minutes,downtime_wait_minutes,charger_distance_km,revenue_per_trip,downtime_cost,is_weekend,total_revenue,net_revenue
ER-1000,Standard E-Rick,2024-01-01,Katraj,18.44206,73.87487,0.431,9,82.6,30.5,85,58,40,4.61,29.45,29.45,0,265.05,235.60000000000002
ER-1000,Standard E-Rick,2024-01-02,Katraj,18.45838,73.85736,0.485,5,69.4,51.0,66,40,41,5.4,64.84,66.46,0,324.20000000000005,257.74000000000007
ER-1000,Standard E-Rick,2024-01-03,Katraj,18.4557,73.87198,0.537,8,60.9,30.7,65,52,12,1.54,35.16,10.55,0,281.28,270.72999999999996
ER-1000,Standard E-Rick,2024-01-04,Katraj,18.44333,73.88149,0.492,7,85.2,53.1,34,28,63,7.71,60.89,95.9,0,426.23,330.33000000000004
ER-1000,Standard E-Rick,2024-01-05,Katraj,18.45257,73.85309,0.471,9,78.0,39.1,58,83,21,3.81,42.38,22.25,0,381.42,359.17
ER-1000,Standard E-Rick,2024-01-06,Katraj,18.4523,73.88239,0.309,5,88.8,64.8,42,60,37,5.3,47.54,43.98,1,237.7,193.72
ER-1000,Standard E-Rick,2024-01-07,Katraj,18.44567,73.83994,0.492,9,64.1,16.8,90,84,31,4.77,55.77,43.22,1,501.93,458.71000000000004
ER-1000,Standard E-Rick,2024-01-08,Katraj,18.43681,73.85577,0.419,7,63.3,28.6,129,85,26,4.7,40.55,26.36,0,283.84999999999997,257.48999999999995
ER-1000,Standard E-Rick,2024-01-09,Katraj,18.45321,73.88852,0.451,7,93.1,49.7,57,58,6,1.14,41.22,6.18,0,288.53999999999996,282.35999999999996
ER-1000,Standard E-Rick,2024-01-10,Katraj,18.43546,73.87597,0.51,10,96.6,54.7,39,58,21,3.16,65.99,34.64,0,659.9,625.26
ER-1000,Standard E-Rick,2024-01-11,Katraj,18.47269,73.8644,0.531,8,70.2,19.8,102,23,22,3.65,69.91,38.45,0,559.28,520.8299999999999
ER-1000,Standard E-Rick,2024-01-12,Katraj,18.43063,73.84148,0.491,9,72.6,20.3,89,46,15,1.03,40.34,15.13,0,363.06000000000006,347.93000000000006
ER-1000,Standard E-Rick,2024-01-13,Katraj,18.44308,73.86192,0.557,13,66.1,13.6,125,81,10,1.81,64.54,16.13,1,839.0200000000001,822.8900000000001
ER-1000,Standard E-Rick,2024-01-14,Katraj,18.43583,73.85699,0.412,7,69.2,41.9,79,28,29,4.2,55.31,40.1,1,387.17,347.07
ER-1000,Standard E-Rick,2024-01-15,Katraj,18.46906,73.85968,0.573,7,65.2,38.1,81,47,25,2.62,59.15,36.97,0,414.05,377.08000000000004
ER-1000,Standard E-Rick,2024-01-16,Katraj,18.4362,73.85769,0.444,7,82.2,44.4,50,29,40,3.53,56.01,56.01,0,392.07,336.06
ER-1000,Standard E-Rick,2024-01-17,Katraj,18.44106,73.84885,0.383,5,60.7,41.6,59,75,15,2.09,56.48,21.18,0,282.4,261.21999999999997
ER-1000,Standard E-Rick,2024-01-18,Katraj,18.44348,73.86712,0.492,5,78.2,56.9,32,72,67,6.59,31.13,52.14,0,155.65,103.51
ER-1000,Standard E-Rick,2024-01-19,Katraj,18.445,73.86548,0.638,9,65.8,9.4,115,39,4,1.48,28.99,2.9,0,260.90999999999997,258.01
ER-1000,Standard E-Rick,2024-01-20,Katraj,18.44754,73.8934,0.381,7,87.2,54.5,59,55,52,7.04,30.04,39.06,1,210.28,171.22
ER-1000,Standard E-Rick,2024-01-21,Katraj,18.42283,73.87591,0.551,10,62.0,15.8,105,27,55,6.72,71.47,98.27,1,714.7,616.4300000000001
ER-1000,Standard E-Rick,2024-01-22,Katraj,18.47107,73.8235,0.536,7,92.1,51.2,59,74,9,1.34,52.17,11.74,0,365.19,353.45
ER-1000,Standard E-Rick,2024-01-23,Katraj,18.44407,73.86108,0.481,8,70.7,39.3,46,49,9,2.09,45.22,10.17,0,361.76,351.59
ER-1000,Standard E-Rick,2024-01-24,Katraj,18.46142,73.85755,0.416,6,98.0,60.5,73,42,44,4.42,58.67,64.54,0,352.02,287.47999999999996
ER-1000,Standard E-Rick,2024-01-25,Katraj,18.47631,73.87296,0.505,7,89.4,60.6,58,80,16,1.32,32.47,12.99,0,227.29,214.29999999999998
ER-1000,Standard E-Rick,2024-01-26,Katraj,18.43075,73.85193,0.374,6,98.4,62.9,67,74,46,6.42,39.91,45.9,0,239.45999999999998,193.55999999999997
ER-1000,Standard E-Rick,2024-01-27,Katraj,18.44013,73.87086,0.45,10,82.9,33.9,83,73,59,6.45,56.18,82.87,1,561.8,478.92999999999995
ER-1000,Standard E-Rick,2024-01-28,Katraj,18.45306,73.84905,0.298,8,86.3,48.3,53,66,24,2.87,63.84,38.3,1,510.72,472.42
ER-1000,Standard E-Rick,2024-01-29,Katraj,18.45203,73.87467,0.488,8,65.9,15.4,85,46,43,5.92,72.0,77.4,0,576.0,498.6
ER-1000,Standard E-Rick,2024-01-30,Katraj,18.44213,73.86362,0.501,11,88.7,18.8,105,79,31,5.21,55.65,43.13,0,612.15,569.02
ER-1000,Standard E-Rick,2024-01-31,Katraj,18.41435,73.86282,0.605,7,71.8,37.7,62,41,60,7.37,33.2,49.8,0,232.40000000000003,182.60000000000002
ER-1000,Standard E-Rick,2024-02-01,Katraj,18.43843,73.85931,0.462,9,64.3,5.8,103,65,9,1.0,29.36,6.61,0,264.24,257.63
ER-1000,Standard E-Rick,2024-02-02,Katraj,18.42677,73.827,0.516,10,96.4,41.7,65,20,0,0.7,65.67,0.0,0,656.7,656.7
ER-1000,Standard E-Rick,2024-02-03,Katraj,18.44753,73.8823,0.371,7,97.1,56.4,68,78,1,0.61,33.87,0.85,1,237.08999999999997,236.23999999999998
ER-1000,Standard E-Rick,2024-02-04,Katraj,18.45489,73.84639,0.432,5,66.2,37.7,61,38,54,5.77,56.74,76.6,1,283.7,207.1
ER-1000,Standard E-Rick,2024-02-05,Katraj,18.44616,73.86693,0.538,9,88.4,52.2,48,32,59,7.85,64.85,95.66,0,583.65,487.99
ER-1000,Standard E-Rick,2024-02-06,Katraj,18.45423,73.89127,0.529,11,72.1,14.5,118,65,62,7.54,51.89,80.43,0,570.79,490.35999999999996
ER-1000,Standard E-Rick,2024-02-07,Katraj,18.42516,73.83091,0.666,11,71.1,22.6,80,62,43,5.19,47.21,50.75,0,519.3100000000001,468.56000000000006
ER-1000,Standard E-Rick,2024-02-08,Katraj,18.45178,73.87129,0.411,6,76.7,47.2,79,60,35,4.66,58.45,51.15,0,350.70000000000005,299.55000000000007
ER-1000,Standard E-Rick,2024-02-09,Katraj,18.44815,73.85944,0.473,10,77.3,23.5,130,55,48,5.97,71.29,85.55,0,712.9000000000001,627.3500000000001
ER-1000,Standard E-Rick,2024-02-10,Katraj,18.45581,73.85737,0.363,7,93.5,58.6,58,25,56,6.78,41.19,57.66,1,288.33,230.67
ER-1000,Standard E-Rick,2024-02-11,Katraj,18.40453,73.85385,0.5,5,60.6,30.7,60,46,8,1.48,33.62,6.72,1,168.1,161.38
ER-1000,Standard E-Rick,2024-02-12,Katraj,18.45417,73.87202,0.694,13,72.4,5.0,90,47,41,5.23,37.83,38.77,0,491.78999999999996,453.02
ER-1000,Standard E-Rick,2024-02-13,Katraj,18.47083,73.86397,0.445,9,99.6,53.1,43,89,18,1.39,46.45,20.9,0,418.05,397.15000000000003
ER-1000,Standard E-Rick,2024-02-14,Katraj,18.46622,73.82609,0.521,12,66.0,17.5,92,23,19,2.09,51.04,24.24,0,612.48,588.24
ER-1000,Standard E-Rick,2024-02-15,Katraj,18.4596,73.87194,0.437,4,93.7,72.1,30,66,50,6.17,45.23,56.54,0,180.92,124.38
ER-1000,Standard E-Rick,2024-02-16,Katraj,18.43567,73.86094,0.531,10,90.7,30.2,82,83,33,4.82,44.01,36.31,0,440.09999999999997,403.78999999999996
ER-1000,Standard E-Rick,2024-02-17,Katraj,18.42728,73.86098,0.452,8,67.1,31.0,93,21,62,7.44,42.45,65.8,1,339.6,273.8
ER-1000,Standard E-Rick,2024-02-18,Katraj,18.43165,73.85759,0.446,6,85.4,46.7,84,53,51,6.16,61.87,78.89,1,371.21999999999997,292.33
ER-1000,Standard E-Rick,2024-02-19,Katraj,18.47632,73.83722,0.414,8,89.3,50.7,46,65,56,7.77,41.55,58.17,0,332.4,274.22999999999996
ER-1000,Standard E-Rick,2024-02-20,Katraj,18.43959,73.85245,0.398,6,79.6,40.8,74,88,24,3.47,31.99,19.19,0,191.94,172.75
ER-1000,Standard E-Rick,2024-02-21,Katraj,18.4369,73.84276,0.543,11,61.5,10.7,115,27,36,5.5,64.36,57.93,0,707.96,650.0300000000001
ER-1000,Standard E-Rick,2024-02-22,Katraj,18.441,73.85583,0.557,10,69.4,15.7,94,20,31,4.26,29.39,22.78,0,293.9,271.12
ER-1000,Standard E-Rick,2024-02-23,Katraj,18.44615,73.8453,0.609,8,94.1,57.8,88,40,37,4.85,40.92,37.85,0,327.36,289.51
ER-1000,Standard E-Rick,2024-02-24,Katraj,18.42304,73.86447,0.471,9,88.7,35.4,108,40,26,3.44,55.02,35.76,1,495.18,459.42
ER-1000,Standard E-Rick,2024-02-25,Katraj,18.46719,73.85714,0.394,10,65.4,19.4,80,34,0,0.44,57.82,0.0,1,578.2,578.2
ER-1000,Standard E-Rick,2024-02-26,Katraj,18.41053,73.87377,0.365,6,81.6,55.5,52,36,24,2.81,52.89,31.73,0,317.34000000000003,285.61
ER-1000,Standard E-Rick,2024-02-27,Katraj,18.4465,73.87425,0.522,7,69.7,38.4,79,81,21,2.48,65.22,34.24,0,456.53999999999996,422.29999999999995
